Band name,Band value
20150516_0430_sm_rootzone,0.262
20150516_0730_sm_rootzone,0.262
20150516_1030_sm_rootzone,0.263
20150516_1330_sm_rootzone,0.263
20150516_1630_sm_rootzone,0.262
20150516_1930_sm_rootzone,0.261
20150516_2230_sm_rootzone,0.261
20150517_0130_sm_rootzone,0.261
20150517_0430_sm_rootzone,0.261
20150517_0730_sm_rootzone,0.261
20150517_1030_sm_rootzone,0.262
20150517_1330_sm_rootzone,0.262
20150517_1630_sm_rootzone,0.261
20150517_1930_sm_rootzone,0.26
20150517_2230_sm_rootzone,0.26
20150518_0130_sm_rootzone,0.259
20150518_0430_sm_rootzone,0.26
20150518_0730_sm_rootzone,0.26
20150518_1030_sm_rootzone,0.261
20150518_1330_sm_rootzone,0.262
20150518_1630_sm_rootzone,0.262
20150518_1930_sm_rootzone,0.263
20150518_2230_sm_rootzone,0.264
20150519_0130_sm_rootzone,0.265
20150519_0430_sm_rootzone,0.266
20150519_0730_sm_rootzone,0.266
20150519_1030_sm_rootzone,0.266
20150519_1330_sm_rootzone,0.266
20150519_1630_sm_rootzone,0.264
20150519_1930_sm_rootzone,0.262
20150519_2230_sm_rootzone,0.262
20150520_0130_sm_rootzone,0.262
20150520_0430_sm_rootzone,0.262
20150520_0730_sm_rootzone,0.262
20150520_1030_sm_rootzone,0.263
20150520_1330_sm_rootzone,0.262
20150520_1630_sm_rootzone,0.261
20150520_1930_sm_rootzone,0.261
20150520_2230_sm_rootzone,0.262
20150521_0130_sm_rootzone,0.261
20150521_0430_sm_rootzone,0.262
20150521_0730_sm_rootzone,0.262
20150521_1030_sm_rootzone,0.262
20150521_1330_sm_rootzone,0.263
20150521_1630_sm_rootzone,0.264
20150521_1930_sm_rootzone,0.263
20150521_2230_sm_rootzone,0.263
20150522_0130_sm_rootzone,0.264
20150522_0430_sm_rootzone,0.264
20150522_0730_sm_rootzone,0.264
20150522_1030_sm_rootzone,0.264
20150522_1330_sm_rootzone,0.265
20150522_1630_sm_rootzone,0.266
20150522_1930_sm_rootzone,0.266
20150522_2230_sm_rootzone,0.266
20150523_0130_sm_rootzone,0.267
20150523_0430_sm_rootzone,0.267
20150523_0730_sm_rootzone,0.267
20150523_1030_sm_rootzone,0.266
20150523_1330_sm_rootzone,0.266
20150523_1630_sm_rootzone,0.265
20150523_1930_sm_rootzone,0.264
20150523_2230_sm_rootzone,0.264
20150524_0130_sm_rootzone,0.264
20150524_0430_sm_rootzone,0.264
20150524_0730_sm_rootzone,0.264
20150524_1030_sm_rootzone,0.264
20150524_1330_sm_rootzone,0.263
20150524_1630_sm_rootzone,0.262
20150524_1930_sm_rootzone,0.26
20150524_2230_sm_rootzone,0.26
20150525_0130_sm_rootzone,0.26
20150525_0430_sm_rootzone,0.26
20150525_0730_sm_rootzone,0.261
20150525_1030_sm_rootzone,0.261
20150525_1330_sm_rootzone,0.261
20150525_1630_sm_rootzone,0.26
20150525_1930_sm_rootzone,0.26
20150525_2230_sm_rootzone,0.261
20150526_0130_sm_rootzone,0.264
20150526_0430_sm_rootzone,0.268
20150526_0730_sm_rootzone,0.27
20150526_1030_sm_rootzone,0.27
20150526_1330_sm_rootzone,0.27
20150526_1630_sm_rootzone,0.269
20150526_1930_sm_rootzone,0.267
20150526_2230_sm_rootzone,0.266
20150527_0130_sm_rootzone,0.265
20150527_0430_sm_rootzone,0.265
20150527_0730_sm_rootzone,0.265
20150527_1030_sm_rootzone,0.266
20150527_1330_sm_rootzone,0.266
20150527_1630_sm_rootzone,0.268
20150527_1930_sm_rootzone,0.269
20150527_2230_sm_rootzone,0.273
20150528_0130_sm_rootzone,0.277
20150528_0430_sm_rootzone,0.279
20150528_0730_sm_rootzone,0.28
20150528_1030_sm_rootzone,0.279
20150528_1330_sm_rootzone,0.278
20150528_1630_sm_rootzone,0.277
20150528_1930_sm_rootzone,0.276
20150528_2230_sm_rootzone,0.275
20150529_0130_sm_rootzone,0.274
20150529_0430_sm_rootzone,0.274
20150529_0730_sm_rootzone,0.273
20150529_1030_sm_rootzone,0.273
20150529_1330_sm_rootzone,0.273
20150529_1630_sm_rootzone,0.272
20150529_1930_sm_rootzone,0.27
20150529_2230_sm_rootzone,0.27
20150530_0130_sm_rootzone,0.27
20150530_0430_sm_rootzone,0.27
20150530_0730_sm_rootzone,0.27
20150530_1030_sm_rootzone,0.27
20150530_1330_sm_rootzone,0.27
20150530_1630_sm_rootzone,0.269
20150530_1930_sm_rootzone,0.268
20150530_2230_sm_rootzone,0.267
20150531_0130_sm_rootzone,0.268
20150531_0430_sm_rootzone,0.268
20150531_0730_sm_rootzone,0.269
